Ticker,Timeframe,RSI_1H,RSI_Z_1H,BBP_20_2.0_1H,MACDh_12_26_9_Z_1H,OBV_Z_1H,CMF_Z_1H,VWAP_Z_1H,sumZZ_1H,slope_sumZZ_1H,ATR_Z_1H
IEFA,1H,66.09026818685923,0.3826271726089271,0.8047978650020936,0.1419298711273118,1.2213765514866353,1.1843365675440654,-0.3660103127392247,1.6260573334223634,-0.1612814273696561,-0.5823761514711284
FXI,1H,42.31155219947838,-1.6425850432165836,0.3076177980346299,-0.10646122121692765,-3.110162043338031,-0.44295036432380275,-0.6716764489479308,-7.020196642548563,-0.18604480620615937,-0.704885892899753
INDA,1H,65.35280599671806,0.31981816992871787,0.7023387544895721,-0.11582600799670616,1.5272363786977419,0.38980727900427153,-0.5446670240889562,1.0428240639653845,-0.16913096049725007,-0.6624205930310354
EWZ,1H,52.44336435320549,-0.7796675604951951,0.41333487403303293,-0.16099872389498676,0.3265924817412288,-0.40747224102202034,-0.7235837310518228,-2.013491655261609,-0.1774647479995925,-0.6007447217915994
VEA,1H,68.43430236004298,0.5822664905756099,0.8414366642019331,0.08701088511604908,0.6951719207200103,0.41912602228693174,-0.5463792560082085,0.6471476976115981,-0.17875820799984246,-0.7070136216537529
TLT,1H,38.42626999085078,-1.97349109361131,0.24159318540985236,-0.04546661514241026,-4.65581321615522,-0.35423511621754034,-0.32966953045082664,-8.01279174639735,-0.25007359512154215,-0.2934095463812295
IEF,1H,54.65777897881157,-0.5910678247878475,0.6550619575652067,0.15125512526189333,-0.477221005315596,-1.2506507954992698,-0.2768347871367941,-3.515898955513382,-0.2894087829113931,-0.7086472699233511
SHY,1H,51.42175612371707,-0.8666770301085169,0.5979472799765233,0.03537774331792772,-0.3959992605799709,0.3166220112361096,-0.3543828790224506,-2.5289868915865497,-0.31037454184739616,-0.9011950783172317
TIP,1H,58.96951989036576,-0.2238406637338924,0.7433106303798411,0.2427753296850126,-0.12391835165730544,-1.6821041113732746,-0.17619617575256213,-2.922448882283034,-0.25609388165138,-0.7124630734162337
BNDX,1H,57.046807920835676,-0.3875963421427985,0.683181362472178,0.08858620070187048,0.06349016635791636,-0.2432304614568024,-0.5814635524738094,-2.1259188906989124,-0.23973807779243111,-0.8905219431726928
EMB,1H,62.03584404070127,0.03731545294775782,0.8281885127713946,0.1035248639261676,-1.1895929788332835,-1.5193529832947894,-0.3013611566741789,-3.42060081180959,-0.23888135909341396,-0.7026892836330054
