Ticker,Timeframe,RSI_5M,RSI_Z_5M,BBP_20_2.0_5M,MACDh_12_26_9_Z_5M,OBV_Z_5M,CMF_Z_5M,VWAP_Z_5M,sumZZ_5M,slope_sumZZ_5M,ATR_Z_5M
EFA,5M,67.9523841827159,0.7691721384514825,0.7627358518111774,0.12060278485364326,1.7418998706122382,0.2022004020419749,-0.3249220769338225,2.0590584357152517,-0.0756175238053578,-0.5488385778684561
IEFA,5M,68.5788182834107,0.8139872640071434,0.7980790998105187,0.17639164413319772,0.28424479717774437,1.0586339846894486,-0.36644697871348497,1.0012138192281137,-0.09583502272731662,-0.6248827410228274
FXI,5M,38.01422678944325,-1.3726050748205212,-0.05511266654757079,0.07699918851105338,-1.794527407836335,0.6101198187119311,-0.6735483003431958,-4.148222153687053,-0.20477574975122953,-0.6398552066725591
INDA,5M,60.15585714479646,0.21140822088228658,0.665978432400999,0.22222799574992513,-1.1031882483437714,-0.6053615767514855,-0.5450428702968304,-2.359208188992245,-0.23682012501467703,-0.6596899403039623
EWZ,5M,51.60769275451682,-0.40012786886110274,0.3443964444890661,0.02334674856298005,2.010026104130319,-0.6157793097923412,-0.725120722067758,0.2606375930662269,-0.2349024692329283,-0.613454103279912
VEA,5M,67.90511539006859,0.7657905267623928,0.757079906738916,0.17521260843822273,1.1280272132826412,0.44930349501514166,-0.5462022652060029,1.1415665797724288,-0.12808062562956057,-0.6720973108765036
TLT,5M,12.707107127054796,-3.18307762710362,-0.34028931468578333,-2.058882347557217,-3.349407513707233,-0.963125098035482,-0.33068194915009025,-10.184760046758603,-0.2351956474201223,0.05839436818335514
IEF,5M,42.04365879170057,-1.084339316460824,0.18455614738198825,0.09589317121333765,0.3140526100822328,-0.5868851386007383,-0.27900215109437954,-2.546254585421633,-0.2438215251283102,-0.6457429610495693
SHY,5M,38.22610774495891,-1.3574471011186489,0.20511608773560158,0.1890353495968248,-0.25110090988864897,-2.8518212592819814,-0.3575795851940539,-5.748335417256844,-0.31617800207887675,-0.7591911118586434
TIP,5M,39.70172823345332,-1.2518811407230763,-0.19583861338496333,0.06597765231041706,0.011369600428167575,-1.7652131084732747,-0.1784999331077504,-3.931680879124984,-0.34176354207029147,-0.612354912759594
