Ticker,Timeframe,Date,Time,CMF_1H,OBV_1H,RSI_1H,MACD_12_26_9_1H,MACDh_12_26_9_1H,MACDs_12_26_9_1H,ATR_1H,VWAP_1H,BBL_20_2.0_1H,BBM_20_2.0_1H,BBU_20_2.0_1H,BBB_20_2.0_1H,BBP_20_2.0_1H,VOLUME_1H,VOLUME_1H_Avg,VOLUME_1H_Slope,REL_VOLUME_1H,OBV_Z_1H,OBV_Trend_1H,CMF_Z_1H,CMF_Trend_1H,RSI_Z_1H,MACDh_12_26_9_Z_1H,VOLUME_Z_1H,VWAP_Z_1H,ATR_Z_1H,sumZZ_1H,slope_sumZZ_1H
USMV,1H,05/20/25,15:00,0.49036616244023534,-260802.0,67.92622630291227,0.38111717838539505,-0.04962532322789048,0.43074250161328553,0.21304972659934598,94.00065764747774,93.39183018161728,94.022,94.65216981838273,1.340473119871361,0.6928051716469322,12327.0,5555.2,6395.0,2.2190020161290325,-0.23865350222264553,,1.0864386405283626,,0.97664813198472,0.03908559617238631,-0.5622651260940982,-0.24529303301535352,-0.461765562412436,0.594195144940936,
XLK,1H,05/20/25,16:00,0.28432072327730734,382984.0,49.16882294180757,0.23513063839939718,-0.3052790113748721,0.5404096497742693,1.0521878698562874,233.4260857907581,232.33098131434022,233.74249999999998,235.15401868565974,1.2077552739957498,0.2369854159412255,14593.0,25810.4,-36181.0,0.5653922449865171,0.07844293116890556,,0.18832649681821462,,-0.8400215293204008,-1.398627377184096,-0.5380023575673748,0.7816558573477139,1.3040970475897706,-0.4241289311472667,
XLF,1H,05/20/25,16:00,0.18665742945741207,2206614.0,49.7019488092434,0.043535509644073045,-0.05894906963045898,0.10248457927453203,0.15622008343599236,51.52751424431671,51.233332878029024,51.50025000000001,51.76716712197099,1.0365663155848128,0.19981318767286604,1500.0,159732.4,-414021.0,0.009390705955710926,0.9766708653362133,,-0.23736887664269707,,-0.7883878585834397,-0.013348113117783495,-0.6781931908949957,-0.5581322910256207,-0.5813565294163109,-1.8801159943446342,
XLY,1H,05/20/25,15:00,0.42735821136889557,433039.0,50.023656445680416,0.5049542897880883,-0.30525230543444204,0.8102065952225304,0.9414552902011211,216.60482705213124,215.71667105398518,216.79300000000003,217.8693289460149,0.9929554423019692,0.1455544548787487,34252.0,12701.0,23714.0,2.696795527911188,0.10309749335791572,,0.8117991909129861,,-0.7572302142296805,-1.3984771916839365,-0.3275073149959474,0.6577575611316844,1.0710740063975221,0.1605135308905441,
XLP,1H,05/20/25,15:00,0.46821765607993376,590727.0,69.32194348715035,0.43836981104684014,-0.012192330650798666,0.4505621416976388,0.2666506899931997,82.17473875544566,81.45953944942592,82.17325,82.88696055057407,1.7370873138742298,0.8059713770860616,180755.0,70970.0,108686.0,2.5469212343243623,0.1807666293575288,,0.9898975930388375,,1.1118244682587084,0.24959653951031527,1.2411459848586655,-0.3323977630880887,-0.3489689533226248,3.091864498613342,
XLV,1H,05/20/25,15:00,0.33083724687346916,-245117.0,65.8834448151975,0.7683344172236559,0.09100811504833028,0.6773263021753256,0.5972770171409243,133.4354228062568,131.84983465267635,133.6605,135.47116534732368,2.709349953537003,0.8063790892226287,131016.0,64372.0,79487.0,2.035294848691978,-0.2309278642657057,,0.3910830096273036,,0.7788030954429144,0.8299621924106787,0.7085750035035493,0.04516681251525609,0.3467933281135014,2.8694555773474972,
XLE,1H,05/20/25,15:00,0.09039601249756679,-1860616.0,37.38486270827832,-0.2573805737588941,-0.10168620558175046,-0.15569436817714366,0.41613442741351214,84.34432952361655,83.34147368906862,84.42824999999999,85.51502631093136,2.5744376104713056,0.13274411119805615,167925.0,79925.2,107536.0,2.1010269602077942,-1.026640991061904,,-0.6569537405135295,,-1.9813075929697679,-0.2536878291086827,1.103771174533043,-0.31641747268062165,-0.03439888540820345,-3.1656353372096664,
XLI,1H,05/20/25,15:00,0.4502913082504851,-231097.0,61.939095453100165,0.6343198589776762,-0.1779743291234812,0.8122941881011574,0.4691428288184495,143.66983997795276,142.74346982356752,143.7045,144.66553017643247,1.3375088134783157,0.5340780142009498,72030.0,32456.2,40843.0,2.219298623991718,-0.2240223211253616,,0.9117601164540288,,0.39678967483433625,-0.6827073583161408,0.07699350998311494,0.12054921225359552,0.07715075014245412,0.6765135842260271,
XLRE,1H,05/20/25,15:00,0.3271989967107642,-621688.0,56.38587525850516,0.12021482568476216,-0.035569676753702484,0.15578450243846464,0.14593126343527313,41.91798724553495,41.648912552847975,41.89874999999999,42.14858744715201,1.1925770919276493,0.4624756012084504,67337.0,21823.0,47144.0,3.085597763827155,-0.4164076992088231,,0.37522458215491983,,-0.1410441849944115,0.1181299683906127,0.026744095730726263,-0.6289120133455086,-0.6030080806970036,-1.269273331969488,
XLU,1H,05/20/25,15:00,0.3958015176433859,18471.0,69.2592061599994,0.599015544975714,-0.021492547643612525,0.6205080926193265,0.31855451809161933,82.29606262332292,81.30549699097492,82.30250000000001,83.2995030090251,2.422776972813931,0.7444827124828304,67590.0,36388.6,36015.0,1.8574498606706498,-0.10109774263396444,-77028.75037593985,0.6742496777310351,-0.0012765703171294085,1.105748307466493,0.1972951519476545,0.0294530456147779,-0.33150414265492734,-0.2397437559084766,1.3344005415625921,
