Ticker,Timeframe,RSI_1MO,RSI_Z_1MO,BBP_20_2.0_1MO,MACDh_12_26_9_Z_1MO,OBV_Z_1MO,CMF_Z_1MO,VWAP_Z_1MO,sumZZ_1MO,slope_sumZZ_1MO,ATR_Z_1MO
EEM,1MO,61.53859129320787,0.5532836856631648,0.945292974486902,0.2018577543715157,0.1138150204637199,-0.49059944455291554,-0.6126457722971769,0.33930871791462636,-0.7084753519261867,-0.6120916144361067
EFA,1MO,64.23364820614559,0.8460870784969301,0.9656616789493861,0.24762004858270723,2.013791594393172,0.7341278759481066,-0.33342694157701164,3.5980925045524397,0.4970203326760144,-0.4091746038060262
IEFA,1MO,63.766979849946715,0.7953860794318525,0.972767128279866,0.23473377318754585,0.6750849395936862,0.5664847489023566,-0.37281732312339744,1.508761767461741,0.7354432231217224,-0.4451082809369709
FXI,1MO,61.96623198031567,0.5997445390491649,0.9085588099619066,0.8582453331538229,-0.5559601177252551,-1.243787004486378,-0.7030702443724102,1.0986177240657562,1.4185117425201157,-0.533631528444107
INDA,1MO,60.011630102117955,0.38738759073088375,0.6552026776773467,-0.5346635099100855,0.48964550282725583,0.5575599793262542,-0.5326403423730112,0.07987258963474742,0.6538533581391951,-0.6163437531871364
EWZ,1MO,48.67451179441115,-0.8443291457575917,0.4318676574979989,-0.24097272935370953,-0.42413845026701447,-1.460112525864001,-0.7218310721998873,-2.7933931526786915,-0.7608089468890185,-0.5981425955459501
VEA,1MO,62.672429452800344,0.6764690842569125,0.9512416605069415,0.06390125234478919,0.5515738074706327,0.7196394941566778,-0.5559462743847655,0.7405412136383743,-0.8060847528406466,-0.6040525254163708
TLT,1MO,37.5303246157103,-2.0550849560092206,0.14154205573842144,0.5744803658940183,-2.017321440052092,-0.798751494698636,-0.23366190919714924,-3.15642271072088,-0.7792405047002483,-0.31192514123958087
IEF,1MO,44.3649454299831,-1.3125402796632342,0.4352958240549301,0.3091712186401256,-0.05380996588442561,-0.048770262341754925,-0.2127529403175307,-1.9154862087797047,-0.6070134628279178,-0.6235894413695421
SHY,1MO,49.88747212502364,-0.7125475501737841,0.6059657961103277,-0.04482374221529276,-0.12986285623200478,2.212401816471316,-0.3062197332053815,-0.2934901019232823,-0.08943018715578407,-0.8584389687480833
TIP,1MO,48.03743582450481,-0.9135440126444303,0.6324764038061123,0.43315062651216074,-0.3223923465262583,1.0481059928315275,-0.11233116623398451,-1.0649359555257663,0.19374652974345236,-0.6674652544820753
BNDX,1MO,46.17627945681212,-1.1157486104169383,0.4505033306541396,-0.036274229668547917,-0.5026591428422675,0.06260812558528595,-0.5603777657152221,-3.4148428985110737,-0.3680132625230137,-0.8297499969034995
EMB,1MO,49.97804487035555,-0.7027073100645151,0.5965922948329581,0.25255391436259644,-0.753901145055962,0.640447485307034,-0.25157771394141176,-1.3778092391292185,0.10353004100462047,-0.6237998493203727
LQD,1MO,45.27047521111085,-1.2141593545876275,0.40552726511715476,0.2123532134624107,-3.116728814367429,0.2676972739424907,-0.10819636522914095,-2.099159230024916,-0.1863208417379763,-0.5515647231348514
HYG,1MO,53.6624193335374,-0.30241990310441613,0.6855103347321168,0.046145142054202455,-2.4436663906585605,1.1882137547914682,-0.3389968470082403,1.4489650880636773,0.21847542245197724,-0.7277652724090882
USO,1MO,47.33181450184941,-0.9902059622817537,0.17827065911213064,-1.4470020012902516,-0.16211676032710842,-1.444194007352428,-0.3749681899454913,-5.054914352870751,-0.17370908622561054,-0.11336347063417776
BNO,1MO,47.33418636744693,-0.9899482718816115,0.1766606911981633,-0.6764290232934547,-0.1620829074509018,-1.2097668510802155,-0.7121302436351905,-5.042893196725829,-0.4463840718345652,-0.6180192235926001
UNG,1MO,52.4573755583464,-0.43334140765421214,0.6072634428372052,0.11219693909635337,-0.1541325693530183,-1.4823271760306824,-0.8205105915848735,-3.7008480276900495,-0.7700078652526092,-0.48622998522484767
